SalesID,Region,Product,SalesDate,Packets,Price per Packets,,,,,
MA57665,Mandawa,Wheat Flour,2024-08-09,12,65,,,,,
MA59365,Mandawa,Rice Flour,2024-08-09,10,78,,,,,
MA61065,Mandawa,Ragi Flour,2024-08-09,3,90,,,,,
MA62765,Mandawa,Wheat Flour,2024-08-09,23,65,,,,,
MA64465,Mandawa,Besan,2024-08-09,8,170,,,,,
MA66165,Mandawa,Wheat Flour,2024-08-10,27,65,,,,,
MA67865,Mandawa,Rice Flour,2024-08-10,17,78,,,,,
MA69565,Mandawa,Besan,2024-08-10,7,170,,,,,
MA71265,Mandawa,Corn Flour,2024-08-11,6,82,,,,,
MA72965,Mandawa,Rice Flour,2024-08-11,28,78,,,,,
MA74665,Mandawa,Ragi Flour,2024-08-11,6,90,,,,,
MA76365,Mandawa,Jowar Flour,2024-08-12,3,80,,,,,
MA78065,Mandawa,Corn Flour,2024-08-12,7,82,,,,,
MA79765,Mandawa,Wheat Flour,2024-08-12,25,65,,,,,
MA81465,Mandawa,Rice Flour,2024-08-12,18,78,,,,,
MA83165,Mandawa,Besan,2024-08-14,5,170,,,,,
MA84865,Mandawa,Ragi Flour,2024-08-15,3,90,,,,,
MA86565,Mandawa,Wheat Flour,2024-08-15,16,65,,,,,
MA88265,Mandawa,Rice Flour,2024-08-15,23,78,,,,,
MA89965,Mandawa,Besan,2024-08-15,10,170,,,,,
MA91665,Mandawa,Jowar Flour,2024-08-15,2,80,,,,,
MA93365,Mandawa,Besan,2024-08-16,3,170,,,,,
MA95065,Mandawa,Ragi Flour,2024-08-17,3,90,,,,,
MA96765,Mandawa,Wheat Flour,2024-08-17,46,65,,,,,
MA98465,Mandawa,Rice Flour,2024-08-17,5,78,,,,,
MA10165,Mandawa,Wheat Flour,2024-08-18,18,65,,,,,
MA11865,Mandawa,Rice Flour,2024-08-18,16,78,,,,,
MA13565,Mandawa,Besan,2024-08-18,6,170,,,,,
MA15265,Mandawa,Ragi Flour,2024-08-19,9,90,,,,,
MA16965,Mandawa,Jowar Flour,2024-08-19,5,80,,,,,
MA18665,Mandawa,Wheat Flour,2024-08-19,18,65,,,,,
MA20365,Mandawa,Rice Flour,2024-08-20,20,78,,,,,
MA22065,Mandawa,Besan,2024-08-21,5,170,,,,,
MA23765,Mandawa,Wheat Flour,2024-08-22,20,65,,,,,
MA25465,Mandawa,Rice Flour,2024-08-23,26,78,,,,,
MA27165,Mandawa,Besan,2024-08-23,9,170,,,,,
MA28865,Mandawa,Wheat Flour,2024-08-23,37,65,,,,,
MA30565,Mandawa,Corn Flour,2024-08-23,7,82,,,,,
MA32265,Mandawa,Jowar Flour,2024-08-23,4,80,,,,,
MA33965,Mandawa,Rice Flour,2024-08-24,9,78,,,,,
MA35665,Mandawa,Ragi Flour,2024-08-24,8,90,,,,,
MA37365,Mandawa,Jowar Flour,2024-08-25,6,80,,,,,
MA39065,Mandawa,Corn Flour,2024-08-25,4,82,,,,,
MA40765,Mandawa,Wheat Flour,2024-08-26,43,65,,,,,
MA42465,Mandawa,Rice Flour,2024-08-27,26,78,,,,,
MA44165,Mandawa,Besan,2024-08-28,5,170,,,,,
MA45865,Mandawa,Ragi Flour,2024-08-29,9,90,,,,,
MA47565,Mandawa,Jowar Flour,2024-08-29,6,80,,,,,
MA49265,Mandawa,Corn Flour,2024-08-29,6,82,,,,,
MA50965,Mandawa,Wheat Flour,2024-08-29,14,65,,,,,
MA52665,Mandawa,Rice Flour,2024-08-30,21,78,,,,,
MA54365,Mandawa,Besan,2024-08-30,2,170,,,,,
MA56065,Mandawa,Ragi Flour,2024-08-30,8,90,,,,,
MA57765,Mandawa,Besan,2024-08-31,6,170,,,,,
MA59465,Mandawa,Ragi Flour,2024-08-31,6,90,,,,,
MA61165,Mandawa,Rice Flour,2024-08-31,10,78,,,,,
MA62865,Mandawa,Jowar Flour,2024-08-31,2,80,,,,,
MA64565,Mandawa,Corn Flour,2024-08-31,5,82,,,,,
MA66265,Mandawa,Wheat Flour,2024-08-31,8,65,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,2.04%,52
,,,,,,,,,1.28%,81
,,,,,,,,,-4.65%,40
,,,,,,,,,35.87%,170
,,,,,,,,,2.62%,363
,,,,,,,,,0.69%,294
