SalesID,Region,Product,SalesDate,Packets,Price per Packets
AJ29765,Ajmer,Wheat Flour,2024-08-16,8,65
AJ29885,Ajmer,Rice Flour,2024-08-16,19,78
AJ30005,Ajmer,Wheat Flour,2024-08-17,21,65
AJ30125,Ajmer,Rice Flour,2024-08-18,18,78
AJ30245,Ajmer,Besan,2024-08-18,13,170
AJ30365,Ajmer,Ragi Flour,2024-08-18,3,90
AJ30485,Ajmer,Wheat Flour,2024-08-19,18,65
AJ30605,Ajmer,Rice Flour,2024-08-19,31,78
AJ30725,Ajmer,Wheat Flour,2024-08-23,36,65
AJ30845,Ajmer,Rice Flour,2024-08-23,15,78
AJ30965,Ajmer,Besan,2024-08-23,11,170
AJ31085,Ajmer,Corn Flour,2024-08-24,5,82
AJ31205,Ajmer,Wheat Flour,2024-08-24,13,65
AJ31325,Ajmer,Rice Flour,2024-08-24,18,78
AJ31445,Ajmer,Besan,2024-08-25,11,170
AJ31565,Ajmer,Ragi Flour,2024-08-25,9,90
AJ31685,Ajmer,Wheat Flour,2024-08-25,12,65
AJ31805,Ajmer,Corn Flour,2024-08-26,7,82
AJ31925,Ajmer,Wheat Flour,2024-08-26,25,65
AJ32045,Ajmer,Rice Flour,2024-08-26,21,78
AJ32165,Ajmer,Besan,2024-08-26,3,170
AJ32285,Ajmer,Ragi Flour,2024-08-26,2,90
AJ32405,Ajmer,Jowar Flour,2024-08-27,6,80
AJ32525,Ajmer,Corn Flour,2024-08-27,4,82
AJ32645,Ajmer,Wheat Flour,2024-08-27,23,65
AJ32765,Ajmer,Rice Flour,2024-08-28,28,78
AJ32885,Ajmer,Besan,2024-08-29,14,170
AJ33005,Ajmer,Ragi Flour,2024-08-29,4,90
AJ33125,Ajmer,Jowar Flour,2024-08-29,5,80
AJ33245,Ajmer,Corn Flour,2024-08-29,7,82
AJ33365,Ajmer,Rice Flour,2024-08-29,24,78
AJ33485,Ajmer,Wheat Flour,2024-08-29,21,65
AJ33605,Ajmer,Rice Flour,2024-08-30,33,78
AJ33725,Ajmer,Wheat Flour,2024-08-30,18,65
AJ33845,Ajmer,Ragi Flour,2024-08-30,10,90
AJ33965,Ajmer,Besan,2024-08-30,9,170
AJ34085,Ajmer,Ragi Flour,2024-08-31,7,90
AJ34205,Ajmer,Wheat Flour,2024-08-31,9,65
AJ34325,Ajmer,Rice Flour,2024-08-31,32,78
AJ34445,Ajmer,Besan,2024-08-31,12,170
AJ34565,Ajmer,Corn Flour,2024-08-31,9,82
AJ34685,Ajmer,Jowar Flour,2024-08-31,7,80
